VehicleTypes,YearFrom,YearTo,Make
Automobile,2006,2007,Acura
Automobile,2007,2008,Audi
Automobile,2006,2009,BMW
Automobile,2006,2010,Chevrolet
Automobile,2007,2011,Chrysler
Automobile,2008,2012,Dodge
Automobile,2009,2013,Ford
Automobile,2010,2014,GMC
Automobile,2011,2015,Harley
Automobile,2012,2016,Honda
Automobile,2006,2007,Hyundai
Automobile,2007,2008,Infiniti
Automobile,2006,2009,Jeep
Automobile,2006,2010,Kia
Automobile,2007,2011,Lexus
Automobile,2008,2012,Mazda
Automobile,2009,2013,Mitsubishi
Automobile,2010,2014,Nissan
Automobile,2011,2015,Pontiac
Automobile,2012,2016,Subaru
Automobile,2006,2007,Suzuki
Automobile,2007,2008,Toyota
Automobile,2006,2009,Volkswagen
Automobile,2006,2010,Volvo
Motorcycle,2006,2017,BMW
Motorcycle,2005,2017,Ducati
Motorcycle,2008,2017,Honda
Motorcycle,2009,2017,Kawasaki
Motorcycle,2009,2017,All Makes
Motorcycle,2010,2017,Yamaha
Jet Ski,2006,2017,Bombardier
Jet Ski,2007,2017,Seadoo
Jet Ski,2008,2017,Yamaha
Automobile,2006,2007,Acura
Automobile,2007,2008,Audi
Automobile,2006,2009,BMW
Automobile,2006,2010,Chevrolet
Automobile,2007,2011,Chrysler
Automobile,2008,2012,Dodge
Automobile,2009,2013,Ford
Automobile,2010,2014,GMC
Automobile,2011,2015,Harley
Automobile,2012,2016,Honda
Automobile,2006,2007,Hyundai
Automobile,2007,2008,Infiniti
Automobile,2006,2009,Jeep
Automobile,2006,2010,Kia
Automobile,2007,2011,Lexus
Automobile,2008,2012,Mazda
Automobile,2009,2013,Mitsubishi
Automobile,2010,2014,Nissan
Automobile,2011,2015,Pontiac
Automobile,2012,2016,Subaru
Automobile,2006,2007,Suzuki
Automobile,2007,2008,Toyota
Automobile,2006,2009,Volkswagen
Automobile,2006,2010,Volvo
Motorcycle,2006,2017,BMW
Motorcycle,2005,2017,Ducati
Motorcycle,2008,2017,Honda
Motorcycle,2009,2017,Kawasaki
Motorcycle,2009,2017,All Makes
Motorcycle,2010,2017,Yamaha
Jet Ski,2006,2017,Bombardier
Jet Ski,2007,2017,Seadoo
Jet Ski,2008,2017,Yamaha
Automobile,2006,2007,Acura
Automobile,2007,2008,Audi
Automobile,2006,2009,BMW
Automobile,2006,2010,Chevrolet
Automobile,2007,2011,Chrysler
Automobile,2008,2012,Dodge
Automobile,2009,2013,Ford
Automobile,2010,2014,GMC
Automobile,2011,2015,Harley
Automobile,2012,2016,Honda
Automobile,2006,2007,Hyundai
Automobile,2007,2008,Infiniti
Automobile,2006,2009,Jeep
Automobile,2006,2010,Kia
Automobile,2007,2011,Lexus
Automobile,2008,2012,Mazda
Automobile,2009,2013,Mitsubishi
Automobile,2010,2014,Nissan
Automobile,2011,2015,Pontiac
Automobile,2012,2016,Subaru
Automobile,2006,2007,Suzuki
Automobile,2007,2008,Toyota
Automobile,2006,2009,Volkswagen
Automobile,2006,2010,Volvo
Motorcycle,2006,2017,BMW
Motorcycle,2005,2017,Ducati
Motorcycle,2008,2017,Honda
Motorcycle,2009,2017,Kawasaki
Motorcycle,2009,2017,All Makes
Motorcycle,2010,2017,Yamaha
Jet Ski,2006,2017,Bombardier
Jet Ski,2007,2017,Seadoo
Jet Ski,2008,2017,Yamaha
Automobile,2006,2007,Acura
Automobile,2007,2008,Audi
Automobile,2006,2009,BMW
Automobile,2006,2010,Chevrolet
Automobile,2007,2011,Chrysler
Automobile,2008,2012,Dodge
Automobile,2009,2013,Ford
Automobile,2010,2014,GMC
Automobile,2011,2015,Harley
Automobile,2012,2016,Honda
Automobile,2006,2007,Hyundai
Automobile,2007,2008,Infiniti
Automobile,2006,2009,Jeep
Automobile,2006,2010,Kia
Automobile,2007,2011,Lexus
Automobile,2008,2012,Mazda
Automobile,2009,2013,Mitsubishi
Automobile,2010,2014,Nissan
Automobile,2011,2015,Pontiac
Automobile,2012,2016,Subaru
Automobile,2006,2007,Suzuki
Automobile,2007,2008,Toyota
Automobile,2006,2009,Volkswagen
Automobile,2006,2010,Volvo
Motorcycle,2006,2017,BMW
Motorcycle,2005,2017,Ducati
Motorcycle,2008,2017,Honda
Motorcycle,2009,2017,Kawasaki
Motorcycle,2009,2017,All Makes
Motorcycle,2010,2017,Yamaha
Jet Ski,2006,2017,Bombardier
Jet Ski,2007,2017,Seadoo
Jet Ski,2008,2017,Yamaha
Automobile,2006,2007,Acura
Automobile,2007,2008,Audi
Automobile,2006,2009,BMW
Automobile,2006,2010,Chevrolet
Automobile,2007,2011,Chrysler
Automobile,2008,2012,Dodge
Automobile,2009,2013,Ford
Automobile,2010,2014,GMC
Automobile,2011,2015,Harley
Automobile,2012,2016,Honda
Automobile,2006,2007,Hyundai
Automobile,2007,2008,Infiniti
Automobile,2006,2009,Jeep
Automobile,2006,2010,Kia
Automobile,2007,2011,Lexus
Automobile,2008,2012,Mazda
Automobile,2009,2013,Mitsubishi
Automobile,2010,2014,Nissan
Automobile,2011,2015,Pontiac
Automobile,2012,2016,Subaru
Automobile,2006,2007,Suzuki
Automobile,2007,2008,Toyota
Automobile,2006,2009,Volkswagen
Automobile,2006,2010,Volvo
Motorcycle,2006,2017,BMW
Motorcycle,2005,2017,Ducati
Motorcycle,2008,2017,Honda
Motorcycle,2009,2017,Kawasaki
Motorcycle,2009,2017,All Makes
Motorcycle,2010,2017,Yamaha
Jet Ski,2006,2017,Bombardier
Jet Ski,2007,2017,Seadoo
Jet Ski,2008,2017,Yamaha
Automobile,2006,2007,Acura
Automobile,2007,2008,Audi
Automobile,2006,2009,BMW
Automobile,2006,2010,Chevrolet
Automobile,2007,2011,Chrysler
Automobile,2008,2012,Dodge
Automobile,2009,2013,Ford
Automobile,2010,2014,GMC
