STATE,LOCATION,ZIPCODE
ALABAMA,AB - Calgary,35801
ALASKA,AB - Edmonton,35802
ALBERTA,AK - Anchorage,35803
ARIZONA,AL - Birmingham,35804
ARKANSAS,AL - Mobile,35805
CALIFORNIA,AL - Montgomery,35806
COLORADO,AL - Tanner,99501
CONNECTICUT,AR - Fayetteville,99502
DELAWARE,AR - Little Rock,99503
FLORIDA,AZ - Phoenix,99504
GEORGIA,AZ - Tucson,99505
HAWAII,CA - Bakersfield,99506
IDAHO,CA - Hayward,90001
ILLINOIS,CA - Los Angeles,90002
INDIANA,CA - Martinez,90003
IOWA,CA - Rancho Cucamonga,90004
KANSAS,CA - Sacramento,90005
KENTUCKY,CA - San Bernardino,90006
LOUISIANA,CA - San Diego,90007
MAINE,CA - So Sacramento,90008
MARYLAND,CA - Van Nuys,90009
MASSACHUSETTS,CO - Denver,94203
MICHIGAN,CT- Hartford,94204
MINNESOTA,FL - Miami Central,94205
MISSISSIPPI,FL - Miami North,94206
MISSOURI,FL - Miami South,94207
MONTANA,FL - Ocala,94208
NEBRASKA,FL - Orlando,94209
NEVADA,GA - Atlanta East,94210
NEW BRUNSWICK,GA - Atlanta North,32501
NEW HAMPSHIRE,GA - Atlanta South,32502
NEW JERSEY,GA - Atlanta West,32503
NEW MEXICO,IL - Chicago North,32504
NEW YORK,IL - Chicago South,32505
NORTH CAROLINA,IL - Peoria,32506
OHIO,IL - Wheeling,32507
OKLAHOMA,TX - Abilene,60601
ONTARIO,TX - Amarillo,60602
OREGON,TX - Austin,60603
PENNSYLVANIA,TX - Corpus Christi,60604
QUEBEC,TX - Crashedtoys Dallas,60605
SOUTH CAROLINA,TX - Dallas South,60606
TENNESSEE,TX - El Paso,60607
TEXAS,TX - Ft. Worth,60608
UTAH,TX - Houston,60609
VERMONT,TX - Longview,67201
VIRGINIA,TX - Lufkin,67202
WASHINGTON,TX - Mcallen,67203
WEST VIRGINIA,TX - San Antonio,67204
WISCONSIN,TX - Waco,67205
ALABAMA,AB - Calgary,67206
ALASKA,AB - Edmonton,67207
ALBERTA,AK - Anchorage,67208
ARIZONA,AL - Birmingham,67209
ARKANSAS,AL - Mobile,67210
CALIFORNIA,AL - Montgomery,67211
COLORADO,AL - Tanner,89501
CONNECTICUT,AR - Fayetteville,89502
DELAWARE,AR - Little Rock,89503
FLORIDA,AZ - Phoenix,89504
GEORGIA,AZ - Tucson,89505
HAWAII,CA - Bakersfield,89506
IDAHO,CA - Hayward,89507
ILLINOIS,CA - Los Angeles,89508
INDIANA,CA - Martinez,78701
IOWA,CA - Rancho Cucamonga,78702
KANSAS,CA - Sacramento,78703
KENTUCKY,CA - San Bernardino,78704
LOUISIANA,CA - San Diego,78705
MAINE,CA - So Sacramento,94595
MARYLAND,CA - Van Nuys,94596
MASSACHUSETTS,CO - Denver,48076
MICHIGAN,CT- Hartford,75205
MINNESOTA,FL - Miami Central,46327
MISSISSIPPI,FL - Miami North,99201
MISSOURI,FL - Miami South,95409
MONTANA,FL - Ocala,37064
NEBRASKA,FL - Orlando,73012
NEVADA,GA - Atlanta East,50301
NEW BRUNSWICK,GA - Atlanta North,53590
NEW HAMPSHIRE,GA - Atlanta South,98327
NEW JERSEY,GA - Atlanta West,95116
NEW MEXICO,IL - Chicago North,94533
NEW YORK,IL - Chicago South,60632
NORTH CAROLINA,IL - Peoria,80231
OHIO,IL - Wheeling,94206
OKLAHOMA,TX - Abilene,94207
ONTARIO,TX - Amarillo,94208
OREGON,TX - Austin,94209
PENNSYLVANIA,TX - Corpus Christi,94210
QUEBEC,TX - Crashedtoys Dallas,32501
SOUTH CAROLINA,TX - Dallas South,32502
TENNESSEE,TX - El Paso,32503
TEXAS,TX - Ft. Worth,32504
UTAH,TX - Houston,32505
VERMONT,TX - Longview,32506
VIRGINIA,TX - Lufkin,32507
WASHINGTON,TX - Mcallen,60601
WEST VIRGINIA,TX - San Antonio,60602
WISCONSIN,TX - Waco,60603
ALABAMA,AB - Calgary,35801
ALASKA,AB - Edmonton,35802
ALBERTA,AK - Anchorage,35803
ARIZONA,AL - Birmingham,35804
ARKANSAS,AL - Mobile,35805
CALIFORNIA,AL - Montgomery,35806
COLORADO,AL - Tanner,99501
CONNECTICUT,AR - Fayetteville,99502
DELAWARE,AR - Little Rock,99503
FLORIDA,AZ - Phoenix,99504
GEORGIA,AZ - Tucson,99505
HAWAII,CA - Bakersfield,99506
IDAHO,CA - Hayward,90001
ILLINOIS,CA - Los Angeles,90002
INDIANA,CA - Martinez,90003
IOWA,CA - Rancho Cucamonga,90004
KANSAS,CA - Sacramento,90005
KENTUCKY,CA - San Bernardino,90006
LOUISIANA,CA - San Diego,90007
MAINE,CA - So Sacramento,90008
MARYLAND,CA - Van Nuys,90009
MASSACHUSETTS,CO - Denver,94203
MICHIGAN,CT- Hartford,94204
MINNESOTA,FL - Miami Central,94205
MISSISSIPPI,FL - Miami North,94206
MISSOURI,FL - Miami South,94207
MONTANA,FL - Ocala,94208
NEBRASKA,FL - Orlando,94209
NEVADA,GA - Atlanta East,94210
NEW BRUNSWICK,GA - Atlanta North,32501
NEW HAMPSHIRE,GA - Atlanta South,32502
NEW JERSEY,GA - Atlanta West,32503
NEW MEXICO,IL - Chicago North,32504
NEW YORK,IL - Chicago South,32505
NORTH CAROLINA,IL - Peoria,32506
OHIO,IL - Wheeling,32507
OKLAHOMA,TX - Abilene,60601
ONTARIO,TX - Amarillo,60602
OREGON,TX - Austin,60603
PENNSYLVANIA,TX - Corpus Christi,60604
QUEBEC,TX - Crashedtoys Dallas,60605
SOUTH CAROLINA,TX - Dallas South,60606
TENNESSEE,TX - El Paso,60607
TEXAS,TX - Ft. Worth,60608
UTAH,TX - Houston,60609
VERMONT,TX - Longview,67201
VIRGINIA,TX - Lufkin,67202
WASHINGTON,TX - Mcallen,67203
WEST VIRGINIA,TX - San Antonio,67204
WISCONSIN,TX - Waco,67205
ALABAMA,AB - Calgary,67206
ALASKA,AB - Edmonton,67207
ALBERTA,AK - Anchorage,67208
ARIZONA,AL - Birmingham,67209
ARKANSAS,AL - Mobile,67210
CALIFORNIA,AL - Montgomery,67211
COLORADO,AL - Tanner,89501
CONNECTICUT,AR - Fayetteville,89502
DELAWARE,AR - Little Rock,89503
FLORIDA,AZ - Phoenix,89504
GEORGIA,AZ - Tucson,89505
HAWAII,CA - Bakersfield,89506
IDAHO,CA - Hayward,89507
ILLINOIS,CA - Los Angeles,89508
INDIANA,CA - Martinez,78701
IOWA,CA - Rancho Cucamonga,78702
KANSAS,CA - Sacramento,78703
KENTUCKY,CA - San Bernardino,78704
LOUISIANA,CA - San Diego,78705
MAINE,CA - So Sacramento,94595
MARYLAND,CA - Van Nuys,94596
MASSACHUSETTS,CO - Denver,48076
MICHIGAN,CT- Hartford,75205
MINNESOTA,FL - Miami Central,46327
MISSISSIPPI,FL - Miami North,99201
MISSOURI,FL - Miami South,95409
MONTANA,FL - Ocala,37064
NEBRASKA,FL - Orlando,73012
NEVADA,GA - Atlanta East,50301
NEW BRUNSWICK,GA - Atlanta North,53590
NEW HAMPSHIRE,GA - Atlanta South,98327
NEW JERSEY,GA - Atlanta West,95116
NEW MEXICO,IL - Chicago North,94533
NEW YORK,IL - Chicago South,60632
NORTH CAROLINA,IL - Peoria,80231
OHIO,IL - Wheeling,94206
OKLAHOMA,TX - Abilene,94207
ONTARIO,TX - Amarillo,94208
OREGON,TX - Austin,94209
PENNSYLVANIA,TX - Corpus Christi,94210
QUEBEC,TX - Crashedtoys Dallas,32501
